step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K
0 0.000000 1.7492435688 70.0012536391 71.7504972079 36.677231
1 1.000000 1.6867076026 70.0657942870 71.7525018895 35.366009
2 2.000000 1.6521087565 70.1005828606 71.7526916171 34.640558
3 3.000000 1.6479786553 70.1028869544 71.7508656097 34.553960
4 4.000000 1.6496501071 70.0995340299 71.7491841369 34.589007
5 5.000000 1.6337863294 70.1156547388 71.7494410682 34.256383
6 6.000000 1.6032657481 70.1479324867 71.7511982347 33.616443
7 7.000000 1.5823632974 70.1702899402 71.7526532376 33.178172
8 8.000000 1.5916960579 70.1607841471 71.7524802050 33.373856
9 9.000000 1.6287977160 70.1220592287 71.7508569446 34.151784
10 10.000000 1.6706659100 70.0786565582 71.7493224682 35.029655
11 11.000000 1.6960308999 70.0534817777 71.7495126776 35.561495
12 12.000000 1.7077775985 70.0436067639 71.7513843624 35.807794
13 13.000000 1.7312838301 70.0216006236 71.7528844537 36.300660
14 14.000000 1.7865034459 69.9657201913 71.7522236372 37.458476
15 15.000000 1.8645283833 69.8856260681 71.7501544514 39.094463
16 16.000000 1.9374895470 69.8115102143 71.7489997613 40.624274
17 17.000000 1.9895415563 69.7603173195 71.7498588758 41.715674
18 18.000000 2.0326121255 69.7190741181 71.7516862437 42.618755
19 19.000000 2.0927073457 69.6599816693 71.7526890150 43.878801
20 20.000000 2.1843147078 69.5676542149 71.7519689227 45.799576
21 21.000000 2.2970451879 69.4531306537 71.7501758416 48.163250
22 22.000000 2.4051856675 69.3438516350 71.7490373025 50.430684
23 23.000000 2.4924474630 69.2573872229 71.7498346859 52.260344
24 24.000000 2.5691390767 69.1826829875 71.7518220642 53.868374
25 25.000000 2.6613071652 69.0913999660 71.7527071312 55.800906
26 26.000000 2.7803710056 68.9709907298 71.7513617354 58.297375
27 27.000000 2.9086524858 68.8406464290 71.7492989148 60.987114
28 28.000000 3.0192108883 68.7295364044 71.7487472927 63.305246
29 29.000000 3.1056467676 68.6444563069 71.7501030745 65.117588
30 30.000000 3.1881383103 68.5637273363 71.7518656466 66.847228
31 31.000000 3.2927334848 68.4596245172 71.7523580021 69.040325
32 32.000000 3.4268937429 68.3242505911 71.7511443340 71.853328
33 33.000000 3.5728944552 68.1764466708 71.7493411260 74.914595
34 34.000000 3.7042004354 68.0445642468 71.7487646822 77.667751
35 35.000000 3.8111916940 67.9389625887 71.7501542827 79.911088
36 36.000000 3.9108623102 67.8411587988 71.7520211091 82.000929
37 37.000000 4.0267952527 67.7253063482 71.7521016009 84.431751
38 38.000000 4.1600056697 67.5901803615 71.7501860312 87.224838
39 39.000000 4.2865145503 67.4619045597 71.7484191100 89.877411
40 40.000000 4.3852075224 67.3634056080 71.7486131304 91.946753
41 41.000000 4.4619528309 67.2883994893 71.7503523202 93.555909
42 42.000000 4.5440717949 67.2077512926 71.7518230875 95.277737
43 43.000000 4.6544356696 67.0972274244 71.7516630940 97.591789
44 44.000000 4.7911695449 66.9588541036 71.7500236484 100.458754
45 45.000000 4.9297365008 66.8187118741 71.7484483749 103.364154
46 46.000000 5.0454791611 66.7031101681 71.7485893292 105.790986
47 47.000000 5.1369239376 66.6134659578 71.7503898954 107.708353
48 48.000000 5.2251672495 66.5265983798 71.7517656293 109.558593
49 49.000000 5.3270438604 66.4239081271 71.7509519875 111.694689
50 50.000000 5.4329776185 66.3158106902 71.7487883086 113.915853
51 51.000000 5.5178019897 66.2298365178 71.7476385075 115.694406
