step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K Q_A Q_H Q_B f_pol r_AH
0 0.000000 1.7492435688 70.0239600966 71.7732036653 36.677231 -0.50993757 0.50000000 0.00993757 0.01987514 1.00000000
1 1.000000 1.6864571625 70.0883927442 71.7748499067 35.360758 -0.50978162 0.50000000 0.00978162 0.01956323 0.99637316
2 2.000000 1.6516361344 70.1233916146 71.7750277490 34.630649 -0.50977650 0.50000000 0.00977650 0.01955299 0.99625265
3 3.000000 1.6473089060 70.1262426274 71.7735515334 34.539917 -0.50992548 0.50000000 0.00992548 0.01985097 0.99972197
4 4.000000 1.6488061999 70.1236986582 71.7725048581 34.571312 -0.51019330 0.50000000 0.01019330 0.02038659 1.00576972
5 5.000000 1.6327903328 70.1407315698 71.7735219026 34.235500 -0.51051113 0.50000000 0.01051113 0.02102226 1.01265116
6 6.000000 1.6021400590 70.1738131283 71.7759531873 33.592841 -0.51079069 0.50000000 0.01079069 0.02158138 1.01845613
7 7.000000 1.5811318095 70.1966611014 71.7777929109 33.152350 -0.51094903 0.50000000 0.01094903 0.02189806 1.02164712
8 8.000000 1.5903849203 70.1872074072 71.7775923275 33.346365 -0.51093780 0.50000000 0.01093780 0.02187559 1.02142297
9 9.000000 1.6274353295 70.1481018920 71.7755372215 34.123219 -0.51076249 0.50000000 0.01076249 0.02152497 1.01788053
10 10.000000 1.6692818830 70.1040211705 71.7733030535 35.000635 -0.51048009 0.50000000 0.01048009 0.02096018 1.01199257
11 11.000000 1.6946538548 70.0780836038 71.7727374585 35.532622 -0.51017667 0.50000000 0.01017667 0.02035334 1.00540106
12 12.000000 1.7064325109 70.0675796617 71.7740121726 35.779591 -0.50993816 0.50000000 0.00993816 0.01987633 1.00001371
13 13.000000 1.7299907306 70.0452437337 71.7752344643 36.273547 -0.50982764 0.50000000 0.00982764 0.01965529 0.99745237
14 14.000000 1.7852788350 69.9894103845 71.7746892195 37.432799 -0.50987346 0.50000000 0.00987346 0.01974693 0.99851936
15 15.000000 1.8633879185 69.9097179146 71.7731058331 39.070550 -0.51006551 0.50000000 0.01006551 0.02013101 1.00291348
